=== OVERNIGHT BATCH JOB ===
Target: 400 functions
Context: 16384 tokens (16K)

Loading disassembly...
Finding all functions...
Found 752 total functions
Checking already processed...
Already processed: 395 functions
Remaining unprocessed: 382 functions
Will process: 382 functions

[278/382] Decompiling 800F7F44 (179/hr, ETA: 0.6h)...
[279/382] Decompiling 800F8588 (180/hr, ETA: 0.6h)...
[280/382] Decompiling 800F8754 (180/hr, ETA: 0.6h)...
[281/382] Decompiling 800F87AC (180/hr, ETA: 0.6h)...
[282/382] Decompiling 800F8B70 (180/hr, ETA: 0.6h)...
[283/382] Decompiling 800F8EC8 (180/hr, ETA: 0.6h)...
[284/382] Decompiling 800FA9B4 (180/hr, ETA: 0.6h)...
[285/382] Decompiling 800FAD58 (180/hr, ETA: 0.5h)...
[286/382] Decompiling 800FADE0 (180/hr, ETA: 0.5h)...
[287/382] Decompiling 800FB234 (180/hr, ETA: 0.5h)...
[288/382] Decompiling 800FB2C8 (180/hr, ETA: 0.5h)...
[289/382] Decompiling 800FBBFC (180/hr, ETA: 0.5h)...
[290/382] Decompiling 800FBC38 (180/hr, ETA: 0.5h)...
[291/382] Decompiling 800FBF2C (180/hr, ETA: 0.5h)...
[292/382] Decompiling 800FCA00 (180/hr, ETA: 0.5h)...
[293/382] Decompiling 800FCDF8 (180/hr, ETA: 0.5h)...
[294/382] Decompiling 800FD024 (180/hr, ETA: 0.5h)...
[295/382] Decompiling 800FD240 (181/hr, ETA: 0.5h)...
[296/382] Decompiling 800FD7E8 (181/hr, ETA: 0.5h)...
[297/382] Decompiling 800FD8DC (181/hr, ETA: 0.5h)...
[298/382] Decompiling 800FD9F8 (181/hr, ETA: 0.5h)...
[299/382] Decompiling 800FDF94 (181/hr, ETA: 0.5h)...
[300/382] Decompiling 800FE08C (181/hr, ETA: 0.5h)...
  Progress saved (300/382)
[301/382] Decompiling 800FE4BC (182/hr, ETA: 0.5h)...
[302/382] Decompiling 800FE520 (182/hr, ETA: 0.4h)...
[303/382] Decompiling 800FE5B0 (182/hr, ETA: 0.4h)...
[304/382] Decompiling 800FE7A4 (182/hr, ETA: 0.4h)...
[305/382] Decompiling 800FE848 (182/hr, ETA: 0.4h)...
[306/382] Decompiling 800FE924 (182/hr, ETA: 0.4h)...
[307/382] Decompiling 800FEA08 (182/hr, ETA: 0.4h)...
[308/382] Decompiling 800FEC60 (182/hr, ETA: 0.4h)...
[309/382] Decompiling 800FECA4 (183/hr, ETA: 0.4h)...
[310/382] Decompiling 800FEE04 (183/hr, ETA: 0.4h)...
[311/382] Decompiling 800FF298 (183/hr, ETA: 0.4h)...
[312/382] Decompiling 800FF724 (183/hr, ETA: 0.4h)...
[313/382] Decompiling 800FFDF8 (181/hr, ETA: 0.4h)...
[314/382] Decompiling 80100564 (181/hr, ETA: 0.4h)...
[315/382] Decompiling 80100B8C (181/hr, ETA: 0.4h)...
[316/382] Decompiling 80100D30 (182/hr, ETA: 0.4h)...
[317/382] Decompiling 80100E60 (182/hr, ETA: 0.4h)...
[318/382] Decompiling 8010190C (182/hr, ETA: 0.4h)...
[319/382] Decompiling 80101D8C (182/hr, ETA: 0.4h)...
[320/382] Decompiling 8010221C (182/hr, ETA: 0.3h)...
[321/382] Decompiling 80102450 (182/hr, ETA: 0.3h)...
